a,b,theta,A2,Rt,E,E_p,E_t1,E_t3,machine_type,status,file_name
8.7,5.8,30,0,0,-34.18079600529745,-5.595713748596609,-5.828225028468296,-5.6664592255838215,1,Done,BOBSe_theta=30_a=8.7_b=5.8_A2=0_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.7,5.8,30,-1,0,-34.34711125679314,-5.583452202845365,-5.922571157105267,-5.667532268445939,1,Done,BOBSe_theta=30_a=8.7_b=5.8_A2=-1_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.7,5.8,30,1,0,-33.95057513657957,-5.583107072627172,-5.728858819697052,-5.6633216759655625,1,Done,BOBSe_theta=30_a=8.7_b=5.8_A2=1_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.7,5.8,30,-2,0,-34.445416973438114,-5.545625900616869,-6.010974765988067,-5.666107820114121,1,Done,BOBSe_theta=30_a=8.7_b=5.8_A2=-2_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.7,5.8,30,-3,0,-34.47459618747234,-5.4819712857715786,-6.0937307849526405,-5.661596023011953,1,Done,BOBSe_theta=30_a=8.7_b=5.8_A2=-3_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.7,5.8,30,-4,0,-34.431335646659136,-5.392783289309591,-6.169772446388379,-5.653112087631598,1,Done,BOBSe_theta=30_a=8.7_b=5.8_A2=-4_Rt=0_cx=0_cy=0_cz=0_A1=0.log
