a,b,theta,A2,Rt,E,E_p,E_t1,E_t3,machine_type,status,file_name
8.2,5.8,30,0,0,-36.668044842313975,-5.474660794367082,-6.352992816478945,-6.50636881031096,1,Done,BOBS_theta=30_a=8.2_b=5.8_A2=0_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.2,5.8,30,-1,0,-36.8403339877259,-5.484744879882783,-6.4337094275979325,-6.501712686382234,1,Done,BOBS_theta=30_a=8.2_b=5.8_A2=-1_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.2,5.8,30,1,0,-36.40154134505429,-5.452126910095103,-6.253833686001599,-6.49481007643044,1,Done,BOBS_theta=30_a=8.2_b=5.8_A2=1_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.2,5.8,30,-2,0,-36.91436761734076,-5.481048846035264,-6.495676039950922,-6.480458922684193,1,Done,BOBS_theta=30_a=8.2_b=5.8_A2=-2_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.2,5.8,30,-3,0,-36.88335607293993,-5.462123144418001,-6.537894912878983,-6.441659979172982,1,Done,BOBS_theta=30_a=8.2_b=5.8_A2=-3_Rt=0_cx=0_cy=0_cz=0_A1=0.log
