X,Y,Z,atom
0.0,0.6725575031204652,-1.8156887098419086,C
0.0,-0.7495221164468064,-1.8802918887348572,C
0.0,1.4059186492615798,-3.014940807444543,C
0.0,-1.4571996812427803,-3.0764595712504335,C
0.0,0.706424261997129,-4.222833499762639,C
0.0,-0.7025366662871511,-4.255431530459491,C
0.0,0.961421377062046,-0.4101458386096691,C
0.0,-0.25136835946404434,0.24992278230684245,C
0.0,-1.3187028381952437,-0.619654621250088,O
0.0,2.407638328284422,0.8079537243075371,Se
0.0,1.072429077474243,2.191162287414221,C
0.0,-0.2579854523224834,1.677048699787455,C
0.0,1.3125234268611874,3.5677518938549047,C
0.0,0.21999178046180665,4.440105469967752,C
0.0,-1.3438344189150038,2.574787078990675,C
0.0,-1.0980376031546675,3.945459807590671,C
0.0,2.3323021693562556,3.958622235582097,H
0.0,0.3955648641409992,5.517995296104585,H
0.0,-1.9365025608890023,4.645057528338609,H
0.0,-2.3632987731521706,2.183705171834423,H
0.0,-2.548027065017679,-3.0833448741043745,H
0.0,-1.2179219242125603,-5.217949310642611,H
0.0,1.2605386551581004,-5.163841373733151,H
0.0,2.4976273661213906,-2.9989899502460298,H
