X,Y,Z,atom
0.0,0.5523629263582072,-1.6807594863298754,C
0.0,-0.859397723910817,-1.9096305061747914,C
0.0,1.422110831361562,-2.7853608569035226,C
0.0,-1.4159744868271913,-3.1818888285764495,C
0.0,0.8681277957852946,-4.066244869690098,C
0.0,-0.5270738887619748,-4.264016832197412,C
0.0,0.6371676769671607,-0.25687866262153597,C
0.0,-0.6371775030069935,0.25687596418601627,C
0.0,-1.5930745722340203,-0.7274063786695126,O
0.0,1.5930700788902816,0.7273981382188325,O
0.0,0.8593990762915336,1.9096281784016842,C
0.0,-0.5523675430104097,1.6807550341937119,C
0.0,1.4159770450412679,3.181885550862917,C
0.0,0.5270726295828267,4.264010075357939,C
0.0,-1.422112338258703,2.785358553589808,C
0.0,-0.8681216325145961,4.0662424034899685,C
0.0,2.4983024421851177,3.318059026116886,H
0.0,0.926104397070709,5.280242071581803,H
0.0,-1.5288441265499553,4.9356972141190445,H
0.0,-2.503287598706454,2.637861071796543,H
0.0,-2.498303057927065,-3.3180424950972465,H
0.0,-0.9261035729767276,-5.280239003399044,H
0.0,1.528852750162837,-4.935707040957113,H
0.0,2.503290394988131,-2.637838321298487,H
