X,Y,Z,atom
0.0,0.42399209635286317,-1.7827080256298293,C
0.0,-0.9643361907918011,-2.113581302508034,C
0.0,1.3736127801844313,-2.823324438805656,C
0.0,-1.3953703551856491,-3.4448309404414466,C
0.0,0.941060966581697,-4.146730563107594,C
0.0,-0.43311942137382575,-4.456318652094652,C
0.0,0.5927055686593592,-0.35973968454098476,C
0.0,-0.5927082180526424,0.35973738515315234,C
0.0,-2.0042641497884945,-0.6821955947951044,S
0.0,2.004257872106692,0.6821968975190023,S
0.0,0.9643366562849816,2.1135791246817277,C
0.0,-0.4239936260017817,1.7827070850039974,C
0.0,1.395370780798349,3.4448272771539648,C
0.0,0.4331198138551803,4.456317736191659,C
0.0,-1.3736127679320163,2.8233283440859993,C
0.0,-0.9410605379641295,4.146730623738484,C
0.0,-2.439863095415237,2.5851698807119594,H
0.0,-1.675073103112218,4.955197255799881,H
0.0,0.7534537757581008,5.50026470575011,H
0.0,2.4600201283433085,3.6872513536383753,H
0.0,-2.460022112809867,-3.68725709580325,H
0.0,-0.7534489248158242,-5.500260432852386,H
0.0,1.675074183441311,-4.955196454171699,H
0.0,2.439867880877244,-2.585164484677725,H
