X,Y,Z,atom
0.0,0.6437149665099032,-1.785579718051032,C
0.0,-0.7765221279504848,-1.8907158766134884,C
0.0,1.4118186059447424,-2.962485149054079,C
0.0,-1.4485966290315706,-3.1069390690886753,C
0.0,0.747358554902792,-4.190185815532324,C
0.0,-0.659829659970945,-4.263571206200244,C
0.0,0.8881424844464677,-0.37164715606809956,C
0.0,-0.34520890238774754,0.25116470964069243,C
0.0,-1.3857758286858162,-0.6466410827933846,O
0.0,2.2015354402403684,0.782449947740945,S
0.0,1.0295352074584885,2.1187340720845445,C
0.0,-0.3294007364430693,1.6753641765361769,C
0.0,1.3425637024965105,3.481813615623487,C
0.0,0.29602506465261247,4.406771834240656,C
0.0,-1.3677780021755177,2.6270786693091708,C
0.0,-1.0474964073881896,3.981819400421898,C
0.0,2.3822106572548996,3.815836207251915,H
0.0,0.5261743313485729,5.474231969043364,H
0.0,-1.8467949130880188,4.725826310813566,H
0.0,-2.4068184384669755,2.292032902110005,H
0.0,-2.5387231671913613,-3.1455632155074476,H
0.0,-1.147188208217254,-5.240559877732891,H
0.0,1.3285850757534177,-5.114671034803201,H
0.0,2.502468929988104,-2.9145646133715752,H
